id,name,singer,release_date,genre
1,See you again,Wiz Knalifa ft. Charlie Puth,,
2,Sorry,Justine Bieber,,
3,Uptown Funk,Mark Ronson ft. Bruno Mars,,
4,Blank Space,Taylor Swift,,
5,Shake it off,Taylor Swift,,
6,Lean On,Major Lazer & Dj shake ft. Mo,,
7,Hello,Adele,,
8,Roar,Kary Perry,,
9,Sugar,Maroon 5,,
10,All about that bass,Meghan Trainor,,
11,Dark Horse,Katy Perry ft. Jucy J,,
12,Counting Stars,Onerepublic,,
13,Baby,Justine Biber ft. Ludacris,,
14,Chandelier,Sia,,
15,What do u mean,Justin Bieber,,
16,Thinking out Loud,Ed Sheeran,,
17,Work from home,Fifth Harmony ft. Ty Dolla Sign,,
18,Love me like u do,Ellie Goulding,,
19,This is what you came for,Calvin Harris ft. Rihana,,
20,Let her go,Passenger,,
21,Waka Waka,Shakira,,
22,Worth It,Fifth Harmony ft. kid Ink,,
23,Love the way you lie,Eminem ft. Rihanna,,
24,Closer,The Chainsmokers ft. Halsey,,
25,Party Rock Anthem,"Lmfao ft. Laurenn Bennett, Goonrock",,
26,Wake me up,Avicii,,
27,Watch me,Silento,,
28,Rude,Magic,,
29,Hotline Bling,Drake,,
30,Love yourself,Justin Bieber,,
31,Summer,Calvin Harris,,
32,Burn,Ellie Goulding,,
33,Rolling in the deep,Adele,,
34,The lazy song,Bruno mars,,
35,All of me,John legend,,
36,On the floor,Jennifer Lopez ft. Pitbull,,
37,Trift Shop,Macklimore & Ryan Lewis ft. Wanz,,
38,Bad blood,Taylor Swift ft. Kendrick Lamar,,
39,The Hills,The Weeknd,,
40,Hey Mama,"David Guetta ft. Nicki Minaj, Bebe Rexha & Afrojack",,
41,How deep is your love,Calvin Harris & Disciples,,
42,Faded,Alan Walker,,
43,Problem,Ariana grande ft. lggy azalea,,
44,Diamonds,Rihanna,,
45,Animals,Martin Garrix,,
46,Call me maybe,Carly Rae Japsen,,
47,Happy,Pharrell Williams,,
48,Tibmer,Pitbull ft. Ke$ha,,
49,Not Afraid,Eminem,,
50,Last Friday night,Katy Perry,,
51,Stressed out,Twenty One Pilots,,
52,Firework,Katy Perry,,
53,Wrecking ball,Miley Cyrus,,
54,Just the way you are,Bruno Mars,,
55,Somebody that I used to know,Gotye ft. Kimbra,,
56,Where are u now,Skrillex Diplo ft. Justine Bieber,,
57,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",,
58,I'm not the only one,Sam Smith,,
59,Break Free,Ariana Grande ft. Zedd,,
60,La La La,Naughty Boy ft. Sam Smith,,
61,La La La,Sakira ft. Sam Smith,,
62,Bad Romance,Lady Gaga,,
63,Fancy,Lggy Azalea ft. Charli XCX,,
64,I took a pill in Ibiza,Mike Posner,,
65,Cheap Thrills,Sia ft. Sean Paul,,
66,Elastic Heart,Sia ft. Shina Labeouf 7 Maddie Ziegler,,
67,Can't remember to forget you,Shakira ft. Rihanna,,
68,We don't talk anymore,Charlie Puth ft. Selena Gomez,,
69,Rain over me,Pitbull ft. Marc Anthony,,
70,Wiggle,Jason Derulo ft. Snoop Dogg,,
71,Treat you better,Shawn Mendes,,
72,Can't feel my face,The Weeknd,,
73,November rain,Guns N' Roses,,
74,We can't stop,Miley Cyrus,,
75,stitches,Shawn Mendes,,
76,Play hard,"David Guetta ft. Ne-Yo, Akon",,
77,Starboy,The Weeknd ft. Daft Punk,,
78,Beauty and a beat,Justin Bieber ft. Nicki Minaj,,
79,I'm an Albatraoz,Aponchupa,,
80,Stay with me,Sam Smith,,
81,Cheerleader,Omi,,
82,Pillowtalk,Zayn,,
83,Cold Water,Manoj Lazer ft. Justin Bieber & Mo,,
84,Hymn for the weekend,Coldplay,,
85,You belong with me,Taylor Swift,,
86,We Found Love,Rihanna ft. Calvin Harris,,
87,paradise,Coldplay,,
88,heathens,Twenty One Pilots,,
89,focus,Ariana Grande,,
90,23,"Mike will made-it ft. Miley Cyrus, Wiz Knalifa, Juicy J",,
91,anaconda,Nicki Minaj,,
92,titanium,David Guetta ft. Sia,,
93,The fox (what does the fox say?),Yivis,,
94,Just give me a reason,Pink ft. Nate Ruess,,
95,Super bass,Nicki Minaj,,
96,Never say never,Justin Bieber ft. Jaden Smith,,
97,Turn down for what,"Dj Shake, Lil Jon",,
98,Bad,David Guetta & Showtek ft. Vassy,,
99,Royals,Lorde,,
100,Radioactive,Imagine Dragons,,
